for a second, wide-eyed, and then
582
791,3203,0
795,3183,0
798,3164,0
797,3143,0
791,3122,0
780,3117,0
760,3119,0
735,3145,0
709,3182,0
683,3231,0
662,3289,0
646,3355,0
633,3430,0
627,3502,0
630,3567,0
639,3612,0
648,3650,0
658,3675,0
662,3679,0
659,3679,0
649,3662,1
521,3449,0
517,3448,0
530,3443,0
563,3436,0
611,3424,0
665,3407,0
717,3388,0
761,3381,0
790,3368,0
799,3360,0
798,3364,0
774,3374,0
738,3403,0
709,3440,0
698,3475,0
705,3499,0
728,3518,0
760,3501,0
796,3489,0
827,3463,0
847,3432,0
853,3397,0
844,3364,0
824,3338,0
796,3324,0
763,3337,0
737,3354,0
726,3373,1
916,3421,0
917,3428,0
918,3440,0
915,3440,0
914,3440,0
909,3428,0
907,3400,0
907,3368,0
909,3332,0
916,3304,0
919,3293,0
920,3293,0
921,3293,0
935,3298,0
956,3310,0
984,3323,0
1019,3328,1
1430,3269,0
1430,3261,0
1428,3253,0
1417,3254,0
1394,3257,0
1369,3275,0
1347,3301,0
1329,3334,0
1325,3371,0
1332,3387,0
1348,3397,0
1370,3395,0
1396,3381,0
1418,3358,0
1438,3332,0
1451,3310,0
1457,3298,0
1455,3298,0
1456,3314,0
1452,3335,0
1452,3363,0
1457,3390,0
1474,3412,0
1498,3417,0
1532,3417,1
1800,3267,0
1797,3255,0
1790,3243,0
1775,3239,0
1758,3238,1
1742,3259,0
1746,3282,0
1757,3308,0
1768,3339,0
1777,3369,0
1779,3398,0
1773,3416,0
1763,3430,0
1753,3440,0
1744,3438,0
1734,3428,0
1722,3406,0
1719,3382,0
1723,3356,0
1736,3329,0
1753,3310,1
1919,3356,0
1932,3349,0
1952,3335,0
1970,3313,0
1978,3289,0
1977,3269,0
1964,3252,0
1942,3250,0
1919,3261,0
1894,3276,0
1877,3305,0
1864,3337,0
1866,3373,0
1879,3399,0
1907,3421,0
1944,3428,0
1989,3424,1
2188,3294,0
2173,3283,0
2152,3276,0
2124,3282,0
2092,3293,0
2070,3313,0
2056,3333,0
2053,3355,0
2060,3374,0
2079,3393,0
2104,3398,0
2136,3400,0
2169,3390,0
2198,3366,0
2227,3344,0
2251,3322,0
2269,3303,0
2275,3296,0
2271,3293,0
2262,3301,0
2246,3320,0
2229,3343,0
2222,3370,0
2223,3392,0
2235,3409,0
2256,3419,0
2280,3414,0
2304,3404,0
2326,3388,0
2338,3366,0
2338,3336,0
2331,3317,0
2314,3303,0
2283,3297,0
2253,3308,0
2228,3318,0
2220,3329,1
2384,3274,0
2376,3281,0
2373,3300,0
2366,3325,0
2359,3345,0
2362,3356,0
2374,3360,0
2395,3356,0
2422,3341,0
2451,3324,0
2482,3310,0
2508,3298,0
