&quot;It is a pity,&quot; said Mart,
437
1234,3293,1
1236,3281,0
1241,3284,0
1245,3293,0
1252,3308,0
1258,3320,0
1263,3327,0
1269,3335,0
1274,3331,0
1279,3327,0
1285,3314,0
1290,3305,0
1293,3301,0
1295,3301,0
1303,3308,0
1317,3315,0
1331,3327,1
1543,3243,0
1544,3254,0
1551,3281,0
1557,3320,0
1565,3363,0
1574,3407,0
1581,3446,0
1590,3486,0
1598,3517,0
1610,3547,0
1616,3562,0
1622,3573,0
1627,3577,1
1702,3255,0
1701,3255,0
1708,3274,0
1718,3304,0
1730,3339,0
1744,3380,0
1759,3423,0
1773,3465,0
1786,3507,0
1793,3534,0
1796,3554,0
1793,3562,0
1790,3567,0
1776,3558,0
1756,3546,0
1732,3526,0
1710,3510,0
1692,3492,0
1689,3486,0
1691,3473,0
1704,3462,0
1727,3453,0
1755,3448,0
1785,3441,0
1814,3435,1
2040,3417,0
2044,3424,0
2055,3438,0
2067,3455,0
2075,3470,0
2079,3481,0
2082,3493,0
2081,3493,0
2084,3492,1
2034,3370,0
2024,3368,0
2024,3368,0
2028,3371,0
2034,3373,1
2231,3397,0
2227,3399,0
2222,3400,0
2208,3402,0
2190,3412,0
2174,3426,0
2165,3438,0
2169,3449,0
2186,3460,0
2205,3462,0
2226,3467,0
2239,3472,0
2240,3470,0
2238,3471,0
2224,3472,0
2204,3479,0
2182,3486,0
2162,3489,0
2154,3496,0
2155,3496,0
2170,3491,1
2551,3419,0
2538,3411,0
2523,3405,0
2507,3408,0
2489,3421,0
2472,3436,0
2461,3454,0
2459,3467,0
2468,3486,0
2477,3491,0
2492,3493,0
2507,3487,0
2523,3476,0
2538,3460,0
2550,3441,0
2563,3436,0
2566,3434,0
2568,3438,0
2577,3456,0
2584,3474,0
2591,3498,1
2758,3525,0
2775,3543,0
2795,3564,0
2812,3587,0
2829,3609,0
2844,3633,0
2854,3651,0
2856,3659,0
2854,3659,0
2848,3654,0
2831,3636,0
2809,3611,0
2785,3583,0
2764,3549,0
2747,3512,0
2739,3472,0
2748,3444,0
2765,3427,0
2782,3417,0
2798,3419,0
2814,3428,0
2827,3439,0
2837,3452,0
2844,3471,0
2843,3485,0
2837,3502,0
2820,3511,0
2802,3520,0
2782,3522,1
2917,3431,0
2926,3431,0
2936,3434,0
2950,3445,0
2963,3456,0
2972,3469,0
2976,3481,0
2978,3489,0
2978,3489,1
2908,3362,0
2907,3358,0
2907,3354,0
2908,3354,0
2907,3349,1
2982,3287,0
2991,3309,0
3008,3346,0
3032,3382,0
3045,3411,0
3060,3445,0
3078,3476,0
3088,3493,0
3095,3503,0
3098,3506,0
3098,3506,0
3092,3495,0
3079,3479,0
3068,3468,0
3057,3457,0
3047,3448,0
3043,3446,0
3048,3452,0
3052,3454,0
3069,3459,0
3091,3460,0
3110,3452,0
3125,3438,0
3141,3427,0
3153,3419,0
3158,3417,0
3168,3424,0
3185,3438,0
3197,3449,0
3207,3456,0
3218,3463,0
3226,3464,0
3229,3452,0
3237,3438,0
3243,3419,0
3261,3416,0
3281,3417,0
3309,3428,0
3341,3453,0
3380,3486,0
3414,3515,0
3434,3544,0
3444,3577,0
3440,3609,0
3421,3641,0
3386,3665,0
3342,3679,0
3300,3687,0
3260,3679,0
3230,3664,0
3214,3646,0
3206,3627,0
3201,3607,1
3525,3419,0
3530,3422,0
3530,3422,0
3536,3431,0
3538,3445,0
3538,3460,0
3537,3476,0
3532,3489,0
3522,3492,1
3726,3131,0
3728,3140,0
3731,3154,0
3732,3163,0
3734,3173,1
3778,3138,0
3783,3144,0
3787,3152,0
3793,3167,0
3792,3174,1
4160,3284,0
4156,3276,0
4147,3268,0
4133,3265,0
4109,3266,0
4075,3271,0
4039,3284,0
4011,3298,0
3998,3312,0
4005,3327,0
4027,3339,0
4055,3351,0
4091,3367,0
4118,3379,0
4139,3392,0
4152,3408,0
4153,3418,0
4151,3431,0
4140,3441,0
4121,3452,0
4086,3458,0
4046,3462,0
4012,3466,0
3985,3469,0
3964,3466,1
4329,3358,0
4331,3343,0
4327,3330,0
4319,3321,0
4304,3314,0
4287,3315,0
4266,3325,0
4242,3337,0
4232,3354,0
4232,3370,0
4241,3384,0
4251,3390,0
4273,3397,0
4295,3398,0
4314,3395,0
4328,3382,0
4343,3372,0
4350,3363,0
4351,3363,0
4356,3369,0
4364,3384,0
4375,3401,0
4386,3419,0
4394,3434,0
4400,3445,1
4439,3387,0
4442,3380,0
4447,3379,0
4442,3378,0
4450,3387,0
4454,3395,0
4456,3404,0
4454,3413,1
4415,3308,0
4410,3296,0
4408,3286,0
4409,3285,0
4410,3284,1
4609,3358,0
4610,3357,0
4611,3356,0
4606,3350,0
4592,3346,0
4573,3350,0
4548,3360,0
4535,3380,0
4526,3394,0
4533,3409,0
4544,3421,0
4565,3429,0
4584,3432,0
4597,3424,0
4613,3412,0
4623,3390,0
4625,3357,0
4625,3322,0
4623,3288,0
4610,3248,0
4603,3220,0
4601,3203,0
4603,3201,0
4606,3209,0
4619,3238,0
4637,3267,0
4651,3299,0
4671,3335,0
4692,3373,1
4992,3424,0
4992,3403,0
4988,3370,0
4983,3332,0
4977,3288,0
4969,3241,0
4958,3197,0
4953,3158,0
4952,3134,0
4953,3126,0
4955,3129,0
4963,3151,0
4982,3180,0
4996,3207,0
5014,3243,0
5034,3282,0
5050,3320,0
5063,3348,0
5076,3363,0
5090,3366,0
5105,3353,0
5127,3325,0
5147,3285,0
5166,3241,0
5182,3201,0
5198,3170,0
5208,3158,0
5212,3158,0
5214,3177,0
5217,3205,0
5221,3241,0
5228,3279,0
5236,3321,0
5253,3359,0
5269,3389,0
5296,3408,0
5326,3414,1
5424,3378,0
5448,3358,0
5456,3332,0
5456,3313,0
5450,3300,0
5431,3293,0
5412,3299,0
5391,3314,0
5377,3332,0
5371,3354,0
5368,3373,0
5370,3389,0
5371,3395,0
5373,3399,0
5381,3402,0
5385,3397,0
5391,3387,0
5411,3387,0
5431,3387,0
5458,3391,0
5487,3394,0
5513,3399,0
5532,3398,0
5552,3397,0
5571,3393,0
5588,3390,0
5600,3387,0
5613,3389,0
5619,3394,0
5626,3406,0
5627,3417,0
5629,3428,0
5625,3433,0
5620,3434,0
5610,3428,0
5596,3419,0
5580,3401,0
5564,3382,0
5545,3360,0
5537,3343,0
5533,3329,0
5540,3320,0
5554,3312,0
5576,3303,1
5735,3158,0
5733,3141,0
5731,3128,0
5735,3128,0
5746,3134,0
5766,3153,0
5789,3185,0
5805,3219,0
5817,3253,0
5825,3283,0
5836,3312,0
5837,3332,0
5835,3348,0
5820,3358,0
5797,3362,0
5766,3364,0
5730,3361,0
5704,3356,0
5692,3353,0
5694,3349,0
5705,3334,0
5731,3317,0
5774,3303,0
5823,3288,0
5870,3273,0
5914,3265,0
5952,3263,0
5985,3264,0
6011,3268,1
6088,3386,0
6087,3387,0
6092,3388,0
6092,3395,0
6095,3411,0
6095,3435,0
6088,3452,0
6083,3468,0
6071,3477,1
