Chatterly. No, thanks. No, he hadn&apos;t
787
813,2142,0
803,2146,0
793,2152,0
783,2159,0
774,2169,0
764,2188,0
755,2207,0
746,2238,0
740,2273,0
734,2301,0
739,2342,0
748,2359,0
759,2374,0
770,2379,0
785,2381,0
798,2375,0
810,2360,0
820,2346,0
827,2326,0
834,2303,0
839,2279,1
872,2137,0
875,2150,0
878,2174,0
881,2207,0
911,2254,0
887,2284,0
888,2316,0
892,2333,0
899,2341,0
905,2338,0
914,2335,0
924,2319,0
936,2304,0
947,2285,0
957,2261,0
968,2238,0
979,2230,0
986,2231,0
994,2239,0
1003,2263,0
1011,2284,0
1018,2308,0
1024,2323,0
1030,2336,0
1035,2345,1
1173,2231,0
1173,2227,0
1171,2215,0
1165,2203,0
1159,2200,0
1148,2195,0
1135,2200,0
1121,2208,0
1110,2229,0
1105,2260,0
1100,2289,0
1099,2312,0
1103,2325,0
1108,2324,0
1116,2329,0
1120,2321,0
1126,2312,0
1134,2300,0
1142,2280,0
1151,2256,0
1159,2231,0
1165,2219,0
1170,2222,0
1171,2223,0
1175,2231,0
1182,2246,0
1189,2270,0
1195,2289,0
1199,2305,0
1201,2313,0
1207,2326,0
1209,2325,0
1212,2329,1
1312,2070,0
1315,2087,0
1328,2113,0
1339,2148,0
1323,2198,0
1327,2250,0
1329,2294,0
1329,2323,0
1329,2339,0
1332,2350,0
1334,2355,0
1336,2353,0
1339,2341,1
1406,2085,0
1410,2089,0
1409,2089,0
1412,2101,0
1411,2117,0
1414,2149,0
1418,2189,0
1423,2229,0
1426,2260,0
1430,2284,0
1433,2300,0
1436,2307,0
1437,2311,1
1310,2240,0
1309,2244,0
1308,2240,0
1312,2239,0
1321,2239,0
1334,2237,0
1351,2239,0
1367,2236,0
1384,2235,0
1401,2231,0
1422,2232,0
1440,2229,0
1457,2227,1
1539,2251,0
1539,2246,0
1546,2245,0
1552,2235,0
1562,2225,0
1570,2211,0
1578,2196,0
1587,2186,0
1591,2176,0
1592,2168,0
1594,2164,0
1590,2156,0
1588,2152,0
1584,2149,0
1580,2151,0
1574,2152,0
1568,2154,0
1563,2154,0
1561,2159,0
1557,2165,0
1556,2174,0
1554,2182,0
1553,2190,0
1553,2203,0
1553,2215,0
1555,2231,0
1558,2246,0
1561,2263,0
1566,2273,0
1573,2285,0
1582,2294,0
1587,2293,0
1593,2292,0
1597,2287,0
1604,2280,0
1607,2263,0
1613,2249,1
1635,2186,0
1635,2198,0
1638,2218,0
1638,2230,0
1641,2246,0
1640,2255,0
1640,2263,0
1640,2263,0
1640,2263,0
1638,2259,0
1640,2259,0
1638,2251,0
1635,2240,0
1631,2224,0
1633,2211,0
1636,2198,0
1645,2183,0
1655,2164,0
1670,2147,0
1681,2127,0
1693,2115,0
1704,2111,0
1710,2113,0
1716,2119,0
1726,2129,1
1774,2040,0
1775,2040,0
1775,2040,0
1776,2043,0
1780,2055,0
1780,2072,0
1782,2101,0
1782,2131,0
1784,2164,0
1780,2186,0
1784,2211,0
1785,2223,0
1789,2234,1
1852,2173,0
1861,2186,0
1864,2203,0
1870,2222,0
1876,2236,0
1887,2249,0
1898,2254,0
1910,2253,0
1922,2244,0
1937,2234,0
1947,2217,0
1955,2200,0
1962,2184,0
1964,2170,0
1969,2173,0
1966,2173,0
1974,2192,0
1978,2212,0
1980,2237,0
1985,2270,0
1985,2296,0
1990,2325,0
1992,2350,0
1991,2371,0
1987,2396,0
1980,2420,0
1968,2441,0
1950,2452,0
1938,2466,0
1923,2466,0
1915,2466,0
1910,2463,0
1901,2449,1
2022,2236,0
2019,2237,0
2022,2236,0
2024,2236,0
2026,2234,1
2164,2074,0
2166,2082,0
2170,2104,0
2176,2132,0
2176,2159,0
2176,2182,0
2174,2196,0
2171,2207,0
2172,2216,0
2173,2219,0
2173,2219,0
2171,2216,0
2172,2216,0
2169,2208,0
2170,2198,0
2166,2178,0
2166,2160,0
2168,2141,0
2166,2119,0
2165,2101,0
2167,2087,0
2166,2073,0
2166,2063,0
2172,2060,0
2174,2060,0
2175,2059,0
2181,2065,0
2188,2074,0
2200,2090,0
2211,2108,0
2226,2131,0
2234,2150,0
2241,2168,0
2254,2189,0
2265,2205,0
2273,2215,0
2285,2227,0
2288,2229,0
2292,2231,0
2293,2231,0
2294,2229,0
2293,2227,0
2292,2217,0
2290,2200,0
2290,2181,0
2290,2163,0
2287,2140,0
2287,2122,0
2282,2097,0
2280,2075,0
2278,2052,0
2279,2033,0
2278,2019,0
2283,2012,0
2283,2002,0
2285,1996,0
2287,1994,1
2388,2060,0
2383,2055,0
2377,2049,0
2363,2045,0
2355,2054,0
2342,2068,0
2337,2095,0
2330,2123,0
2328,2153,0
2332,2175,0
2338,2185,0
2349,2192,0
2362,2193,0
2376,2189,0
2391,2183,0
2398,2170,0
2407,2159,0
2409,2143,0
2410,2128,0
2408,2111,0
2402,2095,0
2399,2088,0
2394,2082,0
2387,2076,0
2385,2078,1
2509,2230,0
2511,2234,0
2511,2244,0
2507,2266,0
2496,2292,1
2682,2026,0
2680,2038,0
2683,2062,0
2684,2087,0
2687,2116,0
2688,2145,0
2685,2168,0
2688,2186,0
2692,2199,1
2647,2149,0
2641,2147,0
2647,2149,0
