Monsieur H, For instance,
904
1349,714,0
1351,719,0
1355,721,0
1349,719,0
1353,721,0
1351,722,0
1348,724,0
1348,728,0
1348,733,0
1351,740,0
1351,745,0
1353,752,0
1356,760,0
1357,769,0
1361,780,0
1364,791,0
1365,804,0
1365,817,0
1368,834,0
1370,851,0
1365,865,0
1365,883,0
1365,900,0
1369,919,0
1371,936,0
1369,949,0
1370,966,0
1368,980,0
1368,996,0
1366,1010,0
1365,1023,0
1365,1036,0
1364,1044,0
1360,1049,0
1361,1054,0
1362,1054,0
1360,1050,1
1380,767,0
1386,768,0
1389,770,0
1392,773,0
1391,779,0
1390,788,0
1392,801,0
1392,814,0
1392,827,0
1399,842,0
1403,853,0
1417,864,0
1430,871,0
1445,872,0
1463,872,0
1484,869,0
1507,865,0
1522,855,0
1539,844,0
1554,833,0
1566,820,0
1573,805,0
1583,791,0
1590,776,0
1591,760,0
1590,744,0
1587,731,0
1587,719,0
1581,709,0
1582,702,0
1581,697,0
1578,695,0
1577,696,0
1581,697,0
1577,702,0
1582,714,0
1580,727,0
1584,744,0
1582,762,0
1579,780,0
1582,802,0
1580,824,0
1581,849,0
1575,873,0
1574,898,0
1578,924,0
1576,944,0
1578,967,0
1581,989,0
1580,1008,0
1584,1024,0
1590,1039,0
1594,1051,0
1594,1055,0
1597,1058,0
1599,1057,0
1604,1054,1
1800,830,0
1795,828,0
1791,827,0
1783,824,0
1778,823,0
1771,824,0
1761,825,0
1746,827,0
1734,834,0
1718,843,0
1702,854,0
1689,866,0
1679,878,0
1674,893,0
1669,908,0
1662,923,0
1664,941,0
1668,958,0
1668,974,0
1675,988,0
1686,999,0
1705,1010,0
1722,1013,0
1746,1015,0
1768,1012,0
1793,1007,0
1815,999,0
1836,991,0
1853,980,0
1865,970,0
1879,960,0
1881,948,0
1882,934,0
1880,919,0
1882,906,0
1874,890,0
1866,875,0
1855,863,0
1846,855,0
1836,849,0
1823,846,1
1942,839,0
1947,840,0
1948,839,0
1944,838,0
1947,840,0
1943,839,0
1945,842,0
1942,847,0
1945,856,0
1947,868,0
1946,881,0
1948,897,0
1948,914,0
1949,932,0
1949,950,0
1949,969,0
1945,984,0
1944,996,0
1947,1006,0
1944,1009,0
1944,1008,1
1943,871,0
1945,869,0
1947,866,0
1950,863,0
1953,859,0
1956,855,0
1961,849,0
1979,845,0
1985,836,0
2005,831,0
2024,825,0
2041,820,0
2053,817,0
2067,818,0
2077,823,0
2092,832,0
2099,842,0
2109,855,0
2113,871,0
2112,886,0
2118,905,0
2116,921,0
2118,940,0
2124,957,0
2124,972,0
2122,981,0
2125,989,0
2128,991,0
2131,989,1
2316,819,0
2319,815,0
2321,810,0
2316,804,0
2312,801,0
2305,798,0
2297,796,0
2285,794,0
2270,796,0
2253,801,0
2236,808,0
2217,817,0
2202,827,0
2195,838,0
2195,846,0
2196,853,0
2207,859,0
2218,863,0
2239,866,0
2262,868,0
2280,868,0
2303,869,0
2320,872,0
2336,875,0
2351,880,0
2362,887,0
2371,895,0
2371,902,0
2380,912,0
2384,921,0
2383,931,0
2378,938,0
2376,948,0
2367,956,0
2357,965,0
2339,972,0
2316,977,0
2293,982,0
2270,988,0
2244,990,0
2227,993,0
2213,993,0
2204,992,0
2200,991,0
2198,987,1
2434,826,0
2431,823,0
2428,820,0
2425,818,0
2425,817,0
2425,817,0
2425,818,0
2425,818,0
2427,823,0
2427,831,0
2423,839,0
2426,852,0
2427,867,0
2426,885,0
2422,902,0
2421,921,0
2420,939,0
2419,955,0
2415,969,0
2418,980,0
2418,987,0
2421,991,0
2421,990,0
2420,984,0
2424,970,1
2402,733,0
2403,731,0
2408,731,0
2411,731,0
2419,735,1
2603,871,0
2605,867,0
2612,861,0
2619,856,0
2622,848,0
2626,840,0
2630,832,0
2632,824,0
2631,817,0
2626,809,0
2620,802,0
2610,796,0
2594,791,0
2574,789,0
2560,789,0
2538,791,0
2523,796,0
2507,803,0
2494,813,0
2483,825,0
2473,838,0
2470,854,0
2466,871,0
2461,887,0
2469,907,0
2474,924,0
2487,941,0
2506,956,0
2524,966,0
2556,974,0
2586,977,0
2618,977,0
2647,974,1
2717,809,0
2717,807,0
2714,805,0
2714,805,0
2718,806,0
2717,809,0
2718,816,0
2718,826,0
2721,839,0
2724,854,0
2726,868,0
2732,885,0
2733,902,0
2739,919,0
2745,934,0
2749,946,0
2758,955,0
2772,961,0
2786,962,0
2804,960,0
2819,955,0
2840,949,0
2856,941,0
2870,931,0
2883,921,0
2891,910,0
2895,899,0
2905,887,0
2910,875,0
2910,863,0
2910,851,0
2910,839,0
2911,827,0
2907,815,0
2905,808,0
2903,801,0
2900,795,0
2898,791,0
2897,791,0
2898,791,0
2897,792,0
2896,796,0
2897,807,0
2896,820,0
2895,836,0
2893,851,0
2895,868,0
2897,885,0
2895,902,0
2892,919,0
2890,934,0
2893,948,0
2893,956,0
2899,963,0
2902,967,0
2907,965,0
2914,957,1
2970,801,0
2968,796,0
2965,791,0
2971,788,0
2967,786,0
2967,785,0
2967,786,0
2967,786,0
2965,792,0
2966,801,0
2970,815,0
2970,829,0
2972,845,0
2975,862,0
2981,880,0
2979,896,0
2982,912,0
2989,924,0
2989,933,0
2987,940,0
2987,942,1
2973,807,0
2970,803,0
2971,799,0
2973,794,0
2987,789,0
3006,784,0
3028,779,0
3054,776,0
3080,774,1
3368,687,0
3364,685,0
3365,682,0
3361,681,0
3361,681,0
3361,681,0
3361,681,0
3361,682,0
3360,685,0
3363,690,0
3361,698,0
3363,709,0
3364,720,0
3365,733,0
3361,749,0
3365,767,0
3363,788,0
3361,810,0
3355,832,0
3356,857,0
3349,880,0
3350,901,0
3349,919,0
3352,933,0
3357,943,0
3356,949,0
3359,951,0
3364,949,0
3363,939,1
3431,675,0
3432,673,0
3436,672,0
3436,672,0
3440,673,0
3436,675,0
3433,683,0
3436,694,0
3437,708,0
3433,723,0
3433,740,0
3433,757,0
3432,776,0
3435,798,0
3433,819,0
3431,839,0
3438,861,0
3436,880,0
3431,896,0
3435,912,0
3435,925,0
3436,933,0
3435,939,0
3434,941,0
3431,939,1
3249,835,0
3249,835,0
3254,834,0
3258,833,0
3267,832,0
3275,832,0
3293,830,0
3315,826,0
3345,821,0
3380,815,0
3415,809,0
3449,805,0
3479,801,1
3626,916,0
3622,913,0
3623,912,0
3619,911,0
3623,912,0
3621,919,0
3616,935,0
3601,957,0
3587,986,0
3578,1014,0
3570,1037,0
3567,1059,0
3558,1072,1
3862,748,0
3859,744,0
3860,740,0
3860,738,0
3860,737,0
3860,737,0
3860,737,0
3860,738,0
3859,741,0
3857,750,0
3855,762,0
3852,776,0
3852,793,0
3848,812,0
3843,834,0
3841,856,0
3836,879,0
3831,898,0
3821,916,0
3821,933,0
3817,944,0
3820,951,0
3820,951,0
3822,945,0
3825,933,1
3742,716,0
3739,713,0
3735,710,0
3739,709,0
3744,707,0
3748,705,0
3761,705,0
3777,704,0
3802,704,0
3826,703,0
3855,702,0
3888,701,0
3920,700,0
3949,699,0
3974,699,0
3990,699,0
3994,699,1
3788,805,0
3792,805,0
3805,804,0
3822,799,0
3852,793,0
3874,789,0
3899,784,0
3921,780,0
3945,778,1
4109,780,0
4102,777,0
4093,774,0
4089,772,0
4073,770,0
4065,769,0
4053,769,0
4037,771,0
4028,774,0
4015,779,0
3997,786,0
3986,796,0
3967,808,0
3956,824,0
3940,839,0
3932,856,0
3931,874,0
3928,890,0
3936,904,0
3950,916,0
3968,925,0
3987,930,0
4012,932,0
4037,931,0
4058,928,0
4080,923,0
4099,916,0
4113,906,0
4128,895,0
4132,881,0
4139,867,0
4138,849,0
4142,833,0
4133,820,0
4127,808,0
4121,801,0
4110,794,1
4229,790,0
4221,786,0
4222,783,0
4222,779,0
4220,776,0
4220,775,0
4220,775,0
4220,775,0
4220,775,0
4218,779,0
4221,788,0
4215,798,0
4216,813,0
4217,830,0
4213,849,0
4213,868,0
4212,887,0
4213,905,0
4213,921,0
4210,932,0
4208,939,1
4204,792,0
4205,790,0
4209,786,0
4214,781,0
4232,777,0
4248,774,0
4270,770,0
4298,767,0
4327,765,1
4561,753,0
4558,751,0
4561,750,0
4561,750,0
4557,750,0
4561,752,0
4557,752,0
4557,755,0
4560,760,0
4558,771,0
4556,782,0
4557,796,0
4550,812,0
4551,830,0
4551,848,0
4548,865,0
4546,879,0
4543,890,0
4546,897,0
4545,900,0
4550,897,1
4539,685,0
4536,684,0
4539,685,0
4543,688,0
4550,692,1
4637,777,0
4635,774,0
4630,772,0
4631,769,0
4631,768,0
4627,768,0
4631,769,0
4631,769,0
4631,772,0
4630,779,0
4624,786,0
4623,796,0
4625,808,0
4622,822,0
4623,837,0
4624,851,0
4621,866,0
4623,879,0
4625,889,0
4624,895,0
4623,900,1
4618,776,0
4614,774,0
4615,772,0
4618,769,0
4623,766,0
4628,763,0
4637,760,0
4642,755,0
4651,751,0
4664,747,0
4676,743,0
4692,741,0
4705,740,0
4721,742,0
4732,745,0
4748,752,0
4755,759,0
4761,769,0
4767,784,0
4772,798,0
4774,812,0
4780,827,0
4781,843,0
4777,859,0
4771,871,0
4769,883,0
4763,892,0
4766,897,0
4765,898,1
4936,762,0
4936,761,0
4941,758,0
4937,756,0
4937,753,0
4934,751,0
4926,749,0
4918,748,0
4910,748,0
4893,749,0
4885,752,0
4868,757,0
4854,765,0
4845,774,0
4840,782,0
4847,790,0
4854,796,0
4869,800,0
4885,803,0
4905,805,0
4920,807,0
4941,809,0
4956,812,0
4972,816,0
4983,820,0
4994,826,0
5002,832,0
5004,839,0
5007,846,0
5006,853,0
5005,859,0
5000,864,0
4995,869,0
4978,873,0
4965,878,0
4948,881,0
4927,883,0
4907,885,0
4886,887,0
4870,888,0
4857,888,0
4849,888,0
4845,886,0
4850,884,0
4859,876,1
5066,702,0
5067,699,0
5067,694,0
5072,692,0
5067,692,0
5072,692,0
5067,692,0
5067,694,0
5066,699,0
5065,707,0
5063,721,0
5062,735,0
5063,752,0
5064,769,0
5066,789,0
5063,807,0
5064,825,0
5065,840,0
5063,854,0
5069,864,0
5068,871,0
5067,875,0
5067,876,0
5072,872,0
5069,866,1
5032,770,0
5032,769,0
5036,767,0
5052,765,0
5073,764,1
5286,800,0
5283,798,0
5279,796,0
5279,793,0
5272,789,0
5269,786,0
5256,784,0
5249,781,0
5237,779,0
5225,778,0
5213,779,0
5200,780,0
5187,784,0
5170,791,0
5157,801,0
5147,809,0
5133,820,0
5132,830,0
5134,840,0
5140,850,0
5156,859,0
5175,865,0
5195,868,0
5219,867,0
5240,865,1
5199,757,0
5204,757,0
5208,755,0
5216,752,0
5221,748,0
5229,747,0
5242,743,0
5258,740,0
5267,738,0
5283,740,0
5295,742,0
5298,746,0
5306,751,0
5313,760,0
5315,767,0
5318,776,0
5317,785,0
5315,796,0
5313,807,0
5308,817,0
5302,828,0
5297,839,0
5295,848,0
5294,856,0
5301,863,0
5308,868,0
5320,869,0
5340,871,0
5365,866,1
5434,760,0
5434,754,0
5431,753,0
5431,752,0
5431,752,0
5431,752,0
5431,752,0
5435,753,0
5429,757,0
5429,764,0
5428,773,0
5426,783,0
5424,795,0
5426,807,0
5425,821,0
5423,833,0
5425,845,0
5428,855,0
5426,863,0
5426,867,0
5429,869,1
5411,780,0
5411,777,0
5412,774,0
5416,771,0
5417,766,0
5425,762,0
5434,755,0
5443,750,0
5452,745,0
5464,741,0
5481,737,0
5493,736,0
5510,736,0
5520,741,0
5528,749,0
5539,760,0
5549,772,0
5555,790,0
5561,805,0
5562,821,0
5569,837,0
5574,851,0
5576,863,0
5578,871,0
5583,874,1
5704,731,0
5699,729,0
5700,727,0
5700,726,0
5692,723,0
5689,721,0
5684,721,0
5676,721,0
5668,721,0
5660,721,0
5652,723,0
5635,726,0
5627,730,0
5610,735,0
5601,741,0
5588,748,0
5583,757,0
5578,765,0
5576,774,0
5571,785,0
5574,795,0
5577,806,0
5579,815,0
5594,825,0
5605,832,0
5624,839,0
5639,843,0
5663,847,0
5680,848,0
5704,848,0
5724,846,0
5749,844,0
5765,839,1
5886,786,0
5891,781,0
5896,774,0
5904,766,0
5909,757,0
5914,749,0
5916,740,0
5917,732,0
5910,722,0
5906,714,0
5892,705,0
5876,699,0
5856,695,0
5841,694,0
5820,697,0
5808,704,0
5798,714,0
5788,726,0
5786,741,0
5781,758,0
5783,776,0
5784,793,0
5790,810,0
5796,823,0
5810,836,0
5837,846,0
5865,854,0
5900,859,0
5933,862,1
6119,848,0
6120,846,0
6121,841,0
6121,838,0
6117,836,0
6121,837,0
6117,836,0
6112,849,0
6097,872,0
6080,900,0
6059,932,0
6046,965,0
6030,989,1
