&quot;Yes, why are you crying,
414
684,1457,0
667,1494,0
640,1541,0
617,1604,0
596,1664,0
582,1723,0
577,1763,0
580,1778,0
592,1764,1
799,1520,0
772,1560,0
738,1621,0
709,1697,0
692,1767,0
692,1816,0
701,1846,0
716,1858,0
735,1850,1
959,1527,0
953,1559,0
950,1599,0
950,1643,0
959,1704,0
968,1768,0
979,1826,0
998,1871,0
1024,1888,1
1223,1521,0
1199,1540,0
1172,1585,0
1138,1664,0
1090,1761,0
1041,1888,0
985,2023,0
932,2151,0
887,2256,1
1112,2068,0
1137,2056,0
1179,2034,0
1230,1987,0
1290,1929,0
1345,1868,0
1389,1812,0
1409,1759,0
1412,1730,0
1397,1717,0
1373,1717,0
1341,1731,0
1305,1769,0
1269,1822,0
1247,1893,0
1236,1946,0
1254,1989,0
1286,2002,0
1337,1999,0
1399,1981,0
1458,1937,0
1520,1885,0
1580,1831,0
1622,1785,0
1645,1751,0
1650,1736,0
1651,1736,0
1648,1733,0
1655,1744,0
1664,1765,0
1680,1793,0
1696,1822,0
1717,1853,0
1735,1884,0
1739,1908,0
1737,1943,0
1710,1969,0
1678,2002,0
1633,2024,0
1594,2048,0
1556,2065,0
1522,2074,0
1498,2088,0
1476,2092,0
1464,2095,1
1906,2029,0
1884,2022,0
1865,2047,0
1878,2059,0
1852,2105,0
1831,2152,0
1821,2189,0
1823,2202,0
1841,2195,1
2265,1659,0
2256,1672,0
2238,1701,0
2228,1749,0
2219,1808,0
2210,1862,0
2213,1903,0
2217,1915,0
2234,1910,0
2264,1889,0
2295,1862,0
2323,1837,0
2346,1820,0
2367,1819,0
2384,1831,0
2400,1848,0
2412,1864,0
2434,1877,0
2446,1873,0
2465,1858,0
2484,1826,0
2501,1791,0
2511,1749,0
2519,1705,0
2522,1662,1
2635,1440,0
2627,1455,0
2621,1505,0
2608,1575,0
2601,1653,0
2587,1722,0
2581,1778,0
2577,1809,0
2582,1814,0
2597,1807,0
2617,1777,0
2648,1736,0
2673,1693,0
2694,1676,0
2704,1677,0
2710,1695,0
2713,1732,0
2717,1775,0
2727,1815,0
2741,1835,0
2761,1838,0
2791,1823,0
2821,1792,0
2854,1756,0
2884,1716,0
2905,1679,0
2920,1667,0
2927,1670,0
2929,1686,0
2934,1725,0
2938,1769,0
2947,1802,0
2963,1809,1
3154,1594,0
3152,1604,0
3131,1635,0
3091,1689,0
3027,1763,0
2956,1865,0
2876,1983,0
2792,2094,0
2721,2186,1
3530,1654,0
3484,1690,0
3445,1749,0
3407,1819,0
3385,1882,0
3386,1915,0
3396,1921,0
3422,1908,0
3455,1875,0
3489,1836,0
3518,1790,0
3550,1742,0
3568,1698,0
3583,1675,0
3584,1672,0
3581,1677,0
3573,1698,0
3564,1736,0
3561,1778,0
3569,1809,0
3590,1820,0
3626,1810,0
3672,1780,0
3723,1751,0
3763,1724,0
3793,1710,0
3805,1714,0
3812,1734,0
3810,1771,0
3793,1807,0
3783,1838,0
3780,1850,0
3785,1850,0
3790,1833,0
3806,1792,0
3824,1746,0
3841,1691,0
3863,1657,0
3875,1646,0
3884,1645,0
3900,1649,0
3918,1657,0
3946,1665,0
3981,1667,0
4022,1657,0
4056,1641,0
4078,1625,0
4090,1609,0
4092,1596,0
4070,1594,0
4040,1612,0
4007,1642,0
3977,1682,0
3960,1732,0
3973,1775,0
3993,1804,0
4036,1819,1
4355,1638,0
4328,1676,0
4325,1720,0
4338,1749,0
4360,1759,0
4394,1754,0
4439,1730,0
4485,1698,0
4526,1655,0
4565,1604,0
4597,1557,0
4615,1532,0
4618,1527,0
4616,1528,0
4616,1542,0
4609,1580,0
4612,1637,0
4613,1707,0
4609,1774,0
4593,1837,0
4560,1896,0
4525,1956,0
4475,2007,0
4417,2046,0
4365,2072,0
4322,2075,0
4299,2065,0
4297,2038,0
4316,1989,1
4795,1556,0
4781,1557,0
4760,1580,0
4724,1625,0
4695,1687,0
4664,1741,0
4650,1770,0
4657,1776,0
4665,1766,0
4693,1732,0
4728,1681,0
4749,1619,0
4773,1555,0
4778,1509,0
4772,1490,0
4760,1488,0
4751,1499,0
