it, don&apos;t you see, because if we
786
699,3076,0
699,3076,0
701,3072,0
701,3076,0
701,3076,0
703,3084,0
706,3093,0
707,3105,0
707,3125,0
704,3145,0
704,3165,0
704,3181,0
704,3189,0
706,3197,0
707,3194,0
711,3191,0
715,3178,1
718,3006,0
718,3006,0
719,3002,0
718,3001,0
716,2997,0
715,2997,0
715,2997,0
716,2997,0
720,2994,1
807,2967,0
808,2972,0
813,2976,0
816,2981,0
820,2989,0
821,2997,0
822,3013,0
823,3033,0
822,3057,0
820,3081,0
820,3105,0
822,3121,0
822,3133,0
822,3146,0
822,3153,0
822,3158,0
820,3158,1
785,3094,0
784,3094,0
784,3090,0
784,3090,0
789,3086,0
799,3087,0
811,3085,0
826,3086,0
842,3087,0
856,3084,0
869,3085,0
882,3086,0
894,3083,1
1006,3147,0
1006,3148,0
1006,3148,0
1004,3148,0
1003,3151,0
1002,3156,0
998,3171,0
991,3184,0
983,3203,1
1357,3088,0
1356,3083,0
1357,3079,0
1354,3072,0
1351,3068,0
1346,3060,0
1341,3061,0
1334,3057,0
1324,3058,0
1317,3063,0
1307,3071,0
1300,3088,0
1293,3105,0
1288,3125,0
1288,3141,0
1293,3153,0
1301,3160,0
1312,3159,0
1324,3154,0
1336,3141,0
1346,3121,0
1358,3095,0
1368,3070,0
1375,3042,0
1376,3009,0
1377,2985,0
1377,2965,0
1374,2945,0
1372,2937,0
1368,2929,0
1368,2934,0
1368,2938,0
1368,2941,0
1369,2970,0
1370,2998,0
1373,3026,0
1380,3062,0
1386,3088,0
1394,3119,0
1400,3139,0
1409,3159,0
1418,3170,0
1426,3173,0
1439,3171,0
1456,3161,1
1557,3053,0
1556,3049,0
1553,3042,0
1547,3039,0
1539,3040,0
1528,3038,0
1517,3044,0
1505,3053,0
1495,3071,0
1486,3088,0
1484,3113,0
1485,3134,0
1491,3148,0
1502,3159,0
1517,3169,0
1531,3163,0
1547,3160,0
1560,3146,0
1569,3129,0
1578,3115,0
1579,3095,0
1578,3083,0
1576,3075,0
1571,3067,0
1567,3060,1
1644,3045,0
1645,3050,0
1647,3054,0
1648,3057,0
1648,3065,0
1649,3077,0
1649,3094,0
1650,3114,0
1650,3130,0
1652,3142,0
1654,3150,0
1655,3150,0
1655,3146,0
1659,3141,0
1667,3127,0
1677,3105,0
1689,3090,0
1698,3071,0
1710,3061,0
1723,3058,0
1736,3055,0
1745,3053,0
1757,3062,0
1764,3074,0
1768,3085,0
1774,3099,0
1774,3112,0
1776,3124,0
1780,3131,1
1792,2926,0
1790,2926,0
1790,2926,0
1792,2930,0
1792,2931,0
1797,2937,0
1803,2944,0
1807,2951,0
1812,2958,0
1816,2961,0
1821,2964,0
1829,2966,0
1836,2960,1
1900,2884,0
1901,2883,0
1901,2883,0
1901,2883,0
1899,2884,0
1899,2896,0
1900,2912,0
1899,2934,0
1896,2955,0
1895,2981,0
1895,3006,0
1899,3034,0
1901,3054,0
1905,3074,0
1910,3089,0
1913,3096,0
1915,3100,0
1916,3100,0
1916,3100,0
1912,3088,0
1908,3077,1
1889,3041,0
1887,3037,0
1892,3040,0
1896,3039,0
1909,3043,0
1923,3044,0
1936,3040,0
1951,3040,0
1965,3040,0
1978,3040,0
1989,3040,0
1999,3041,1
2253,3047,0
2251,3047,0
2254,3050,0
2256,3054,0
2265,3064,0
2275,3072,0
2287,3085,0
2299,3097,0
2307,3106,0
2319,3124,0
2326,3134,0
2337,3146,0
2349,3159,0
2355,3160,0
2363,3160,0
2374,3161,0
2381,3149,1
2453,3023,0
2453,3028,0
2450,3030,0
2441,3043,0
2430,3061,0
2418,3084,0
2405,3112,0
2388,3137,0
2376,3173,0
2362,3201,0
2355,3229,0
2347,3245,0
2346,3255,0
2348,3259,0
2351,3257,0
2359,3245,0
2376,3225,1
2563,3058,0
2564,3048,0
2567,3038,0
2562,3033,0
2552,3028,0
2536,3027,0
2521,3035,0
2503,3043,0
2489,3060,0
2478,3078,0
2471,3099,0
2475,3123,0
2486,3141,0
2499,3148,0
2516,3149,0
2533,3141,0
2552,3131,0
2565,3111,0
2578,3091,0
2585,3074,0
2584,3062,0
2577,3047,0
2569,3037,0
2564,3031,0
2564,3025,1
2609,3021,0
2609,3021,0
2611,3028,0
2609,3039,0
2606,3059,0
2601,3079,0
2601,3102,0
2608,3124,0
2609,3129,0
2619,3138,0
2632,3140,0
2648,3132,0
2665,3117,0
2679,3096,0
2697,3077,0
2707,3058,0
2716,3048,0
2719,3046,0
2717,3042,0
2718,3047,0
2721,3054,0
2721,3064,0
2727,3083,0
2733,3103,0
2741,3122,0
2750,3139,0
2764,3150,0
2777,3156,1
3242,3098,0
3238,3095,0
3238,3096,0
3240,3099,0
3236,3096,0
3235,3097,0
3227,3094,0
3219,3095,0
3206,3099,0
3187,3103,0
3167,3112,0
3141,3120,0
3119,3131,0
3096,3137,0
3086,3149,0
3079,3158,0
3081,3170,0
3088,3180,0
3105,3193,0
3120,3198,0
3142,3207,0
3156,3212,0
3164,3216,0
3169,3223,0
3166,3224,0
3157,3226,0
3143,3230,0
3124,3233,0
3103,3233,0
3089,3238,0
3079,3235,0
3076,3232,0
3080,3230,1
3314,3178,0
3310,3176,0
3310,3176,0
3311,3175,0
3315,3173,0
3322,3167,0
3337,3161,0
3353,3155,0
3366,3145,0
3378,3140,0
3380,3134,0
3376,3126,0
3370,3121,0
3358,3120,0
3339,3124,0
3311,3130,0
3291,3146,0
3274,3163,0
3262,3177,0
3262,3196,0
3270,3211,0
3282,3221,0
3301,3228,0
3322,3232,0
3347,3228,0
3372,3225,0
3396,3216,0
3419,3209,0
3436,3202,1
3450,3181,0
3450,3180,0
3455,3182,0
3457,3180,0
3463,3175,0
3474,3171,0
3484,3164,0
3493,3156,0
3501,3149,0
3506,3140,0
3509,3133,0
3510,3127,0
3505,3120,0
3501,3118,0
3491,3117,0
3479,3121,0
3461,3130,0
3440,3142,0
3423,3156,0
3409,3172,0
3402,3187,0
3408,3207,0
3423,3222,0
3450,3236,0
3478,3239,0
3515,3241,0
3548,3240,0
3580,3240,0
3604,3236,0
3614,3227,0
3623,3220,0
3623,3210,1
3709,3210,0
3708,3211,0
3711,3214,0
3711,3214,0
3711,3214,0
3709,3216,0
3708,3217,0
3705,3224,0
3700,3233,0
3694,3244,0
3689,3253,0
3684,3263,0
3682,3269,1
3905,3001,0
3903,3004,0
3903,3004,0
3901,3006,0
3901,3016,0
3902,3031,0
3898,3047,0
3894,3067,0
3892,3092,0
3886,3114,0
3882,3139,0
3880,3163,0
3877,3183,0
3877,3194,0
3877,3199,0
3880,3202,0
3882,3200,0
3882,3196,0
3883,3183,0
3891,3165,0
3900,3151,0
3916,3136,0
3930,3122,0
3954,3115,0
3978,3110,0
4000,3110,0
4018,3115,0
4034,3122,0
4040,3132,0
4044,3145,0
4041,3160,0
4031,3175,0
4014,3191,0
3994,3205,0
3971,3216,0
3954,3227,0
3936,3232,0
3933,3235,0
3933,3235,0
3935,3233,0
3942,3226,1
4110,3187,0
4116,3187,0
4125,3183,0
4136,3177,0
4149,3169,0
4167,3163,0
4179,3151,0
4193,3142,0
4199,3134,0
4207,3132,0
4204,3129,0
4200,3128,0
4190,3127,0
4172,3134,0
4143,3146,0
4116,3164,0
4094,3185,0
4078,3202,0
4076,3215,0
4086,3228,0
4106,3236,0
4138,3238,0
4174,3236,0
4208,3229,0
4249,3222,1
4427,3153,0
4427,3146,0
4434,3140,0
4432,3134,0
4431,3130,0
4423,3127,0
4410,3124,0
4392,3127,0
4370,3133,0
4347,3141,0
4332,3151,0
4323,3160,0
4322,3174,0
4320,3182,0
4335,3195,0
4349,3204,0
4372,3214,0
4396,3218,0
4417,3218,0
4444,3217,0
4469,3214,1
4602,3147,0
4603,3144,0
4599,3137,0
4594,3131,0
4586,3128,0
4574,3124,0
4559,3124,0
4541,3127,0
4523,3134,0
