Well, as you can see, it isn&apos;t
519
1225,3561,0
1226,3573,0
1230,3585,0
1238,3612,0
1248,3645,0
1257,3676,0
1266,3708,0
1274,3735,0
1279,3751,0
1287,3759,0
1293,3762,0
1298,3754,0
1300,3742,0
1300,3718,0
1298,3686,0
1299,3666,0
1300,3649,0
1303,3641,0
1307,3641,0
1311,3645,0
1317,3660,0
1324,3684,0
1331,3708,0
1339,3728,0
1347,3742,0
1360,3754,0
1370,3757,0
1380,3756,0
1390,3752,0
1399,3734,0
1408,3713,0
1411,3685,0
1416,3665,0
1418,3644,0
1418,3628,0
1416,3616,0
1414,3612,0
1414,3608,0
1415,3612,0
1419,3619,0
1428,3639,1
1484,3730,0
1497,3732,0
1515,3735,0
1527,3725,0
1535,3715,0
1538,3707,0
1537,3699,0
1529,3692,0
1514,3690,0
1495,3692,0
1476,3702,0
1466,3720,0
1463,3735,0
1469,3748,0
1484,3758,0
1508,3764,0
1540,3763,0
1571,3754,0
1602,3738,0
1633,3726,1
1691,3578,0
1689,3578,0
1690,3582,0
1690,3586,0
1692,3607,0
1696,3643,0
1698,3674,0
1701,3707,0
1705,3734,0
1710,3762,0
1714,3777,0
1720,3788,0
1725,3788,0
1732,3783,0
1739,3756,0
1746,3726,0
1753,3693,1
1789,3592,0
1792,3583,0
1793,3583,0
1790,3579,0
1792,3592,0
1790,3616,0
1792,3644,0
1797,3676,0
1805,3707,0
1814,3733,0
1826,3756,0
1834,3770,0
1843,3781,0
1848,3780,0
1853,3779,0
1861,3781,1
1965,3786,0
1966,3785,0
1966,3785,0
1966,3785,0
1964,3786,0
1964,3790,0
1964,3802,0
1963,3819,0
1959,3836,0
1955,3854,0
1948,3872,0
1940,3887,0
1931,3892,1
2329,3689,0
2326,3695,0
2318,3701,0
2307,3718,0
2292,3736,0
2283,3756,0
2277,3771,0
2273,3773,0
2278,3778,0
2287,3784,0
2293,3773,0
2306,3765,0
2320,3756,0
2329,3740,0
2335,3725,0
2342,3723,0
2342,3723,0
2345,3726,0
2349,3737,0
2353,3753,0
2355,3761,0
2366,3774,0
2377,3783,0
2390,3783,0
2408,3785,1
2543,3706,0
2540,3703,0
2536,3701,0
2523,3697,0
2512,3701,0
2501,3706,0
2491,3714,0
2489,3728,0
2488,3737,0
2495,3747,0
2511,3762,0
2526,3769,0
2542,3775,0
2554,3784,0
2557,3787,0
2555,3788,0
2543,3792,0
2526,3799,0
2510,3805,0
2497,3810,0
2493,3817,1
2808,3727,0
2812,3730,0
2818,3735,0
2824,3746,0
2832,3755,0
2836,3758,0
2844,3763,0
2856,3770,0
2867,3769,1
2963,3716,0
2958,3718,0
2956,3737,0
2940,3760,0
2912,3778,0
2883,3810,0
2850,3840,0
2824,3875,0
2802,3902,0
2788,3918,0
2787,3927,0
2795,3923,0
2810,3913,1
3054,3749,0
3049,3742,0
3047,3744,0
3036,3744,0
3028,3754,0
3022,3770,0
3015,3783,0
3016,3800,0
3023,3816,0
3031,3820,0
3044,3817,0
3061,3813,0
3075,3800,0
3086,3785,0
3094,3771,0
3092,3755,0
3086,3744,0
3079,3740,0
3069,3735,0
3061,3731,0
3062,3735,0
3060,3732,0
3066,3733,0
3081,3737,0
3098,3738,0
3118,3740,0
3142,3744,0
3163,3747,0
3175,3748,0
3189,3758,0
3197,3768,0
3200,3780,0
3204,3792,0
3205,3800,0
3209,3807,0
3214,3809,0
3217,3807,0
3226,3802,0
3240,3793,0
3254,3776,0
3270,3761,0
3286,3747,0
3298,3735,0
3308,3728,0
3315,3729,0
3315,3729,0
3315,3735,0
3319,3750,0
3321,3764,0
3327,3779,0
3334,3793,0
3341,3802,0
3347,3808,1
3680,3703,0
3676,3701,0
3666,3699,0
3650,3700,0
3634,3712,0
3618,3728,0
3601,3741,0
3599,3761,0
3601,3775,0
3612,3787,0
3628,3795,0
3652,3798,0
3681,3797,0
3709,3791,0
3739,3780,0
3769,3773,0
3790,3761,1
3838,3740,0
3831,3745,0
3822,3748,0
3815,3757,0
3805,3770,0
3797,3781,0
3793,3793,0
3793,3800,0
3802,3807,0
3808,3808,0
3814,3798,0
3821,3788,0
3829,3777,0
3833,3764,0
3838,3754,0
3841,3753,0
3841,3753,0
3843,3756,0
3846,3769,0
3853,3783,0
3859,3794,0
3867,3803,0
3876,3807,0
3887,3809,0
3895,3802,1
3968,3764,0
3965,3761,0
3969,3769,0
3972,3777,0
3974,3785,0
3980,3790,0
3985,3793,0
3994,3795,0
4005,3791,0
4018,3786,0
4029,3777,0
4041,3767,0
4054,3761,0
4070,3759,0
4079,3756,0
4092,3761,0
4099,3766,0
4107,3775,0
4114,3785,0
4121,3795,0
4128,3800,0
4142,3808,0
4154,3809,0
4169,3806,1
4512,3740,0
4502,3738,0
4490,3737,0
4472,3738,0
4456,3743,0
4446,3746,0
4441,3751,0
4442,3755,0
4454,3766,0
4471,3772,0
4495,3783,0
4513,3788,0
4533,3796,0
4540,3800,0
4541,3805,0
4533,3807,0
4524,3816,0
4507,3820,0
4492,3824,0
4477,3826,0
4468,3830,0
4465,3827,0
4469,3829,0
4477,3826,0
4490,3826,1
4583,3821,0
4601,3814,0
4623,3810,0
4641,3802,0
4655,3795,0
4668,3788,0
4674,3782,0
4671,3774,0
4667,3772,0
4655,3767,0
4630,3764,0
4616,3771,0
4601,3780,0
4589,3786,0
4591,3796,0
4594,3804,0
4611,3815,0
4630,3819,0
4659,3824,0
4685,3827,1
4782,3827,0
4787,3827,0
4800,3826,0
4809,3816,0
4826,3810,0
4835,3801,0
4845,3796,0
4842,3788,0
4841,3783,0
4827,3781,0
4806,3785,0
4780,3788,0
4758,3795,0
4755,3808,0
4752,3812,0
4761,3819,0
4783,3826,0
4808,3828,0
4835,3829,0
4864,3834,0
4888,3839,1
5037,3855,0
5036,3855,0
5040,3865,0
5035,3880,0
5030,3897,0
5026,3914,0
5020,3931,0
5018,3945,0
5023,3958,1
5222,3695,0
5227,3696,0
5233,3696,0
5228,3694,0
5231,3698,0
5230,3704,0
5229,3712,0
5233,3726,0
5237,3740,0
5239,3756,0
5243,3776,0
5247,3795,0
5251,3809,0
5254,3824,0
5263,3838,0
5258,3843,0
5269,3854,1
5374,3714,0
5379,3713,0
5382,3716,0
5383,3723,0
5380,3737,0
5380,3764,0
5379,3788,0
5379,3807,0
5382,3828,0
5384,3839,0
5390,3850,0
5388,3853,0
5389,3851,0
5386,3848,0
5378,3839,0
5376,3829,0
5366,3817,0
5356,3810,0
5356,3810,0
5354,3807,0
5357,3802,0
5374,3800,0
5390,3794,0
5408,3792,0
5424,3791,0
5436,3789,0
5451,3790,0
5458,3787,0
5472,3790,1
5890,3708,0
5891,3708,0
5897,3713,0
5897,3718,0
5900,3728,0
5901,3742,0
5904,3756,0
5904,3769,0
5909,3783,1
5919,3837,0
5920,3848,0
5924,3857,0
5931,3867,0
5935,3875,0
5940,3882,0
5940,3882,0
5947,3879,1
6056,3807,0
6058,3804,0
6058,3803,0
6054,3803,0
6044,3802,0
6034,3809,0
6026,3814,0
6025,3823,0
6019,3830,0
6025,3842,0
6034,3851,0
6043,3858,0
6055,3869,0
6058,3871,0
6059,3876,0
6061,3881,0
6060,3889,0
6047,3892,0
6037,3899,0
6021,3901,0
6010,3903,0
6001,3901,0
6002,3899,0
6010,3895,0
6020,3882,1
6114,3830,0
6121,3827,0
6129,3829,0
6129,3829,0
6137,3838,0
6137,3845,0
6141,3854,0
6143,3864,0
6149,3870,0
6153,3872,0
6165,3875,0
6176,3874,0
6191,3865,0
6208,3855,0
6227,3850,0
6244,3846,0
6256,3845,0
6262,3848,0
6268,3853,0
6276,3865,0
6285,3872,0
6296,3884,0
6304,3887,0
6317,3890,1
6336,3700,0
6336,3701,0
6338,3704,0
6341,3714,0
6346,3729,0
6348,3747,0
6350,3764,0
6353,3782,0
6362,3797,1
6510,3749,0
6511,3748,0
6508,3745,0
6511,3748,0
6509,3752,0
6513,3767,0
6515,3785,0
6516,3805,0
6517,3833,0
6511,3855,0
6510,3877,0
6516,3899,0
6519,3909,0
6522,3917,0
6525,3921,0
6521,3919,0
6511,3912,1
6459,3846,0
6468,3841,0
6478,3831,0
6506,3826,0
6530,3819,0
6556,3817,0
6575,3817,0
6593,3813,0
6609,3817,0
6618,3818,0
6618,3818,0
6621,3821,1
