Well, now you &apos;ve broken the thread, just
774
382,1649,0
419,1653,0
424,1655,0
429,1657,0
390,1645,0
393,1655,0
395,1686,0
393,1725,0
388,1783,0
381,1841,0
395,1912,0
365,1960,0
363,1997,0
364,2012,0
366,2017,0
373,2010,0
382,1984,0
419,1954,0
405,1894,0
417,1838,0
431,1789,0
444,1746,0
452,1732,0
453,1728,0
452,1732,0
448,1765,0
442,1809,0
436,1867,0
433,1922,0
435,1961,0
443,1981,0
460,1978,0
480,1951,0
503,1891,0
526,1822,0
544,1744,0
560,1670,0
576,1620,0
588,1599,0
591,1600,0
586,1615,1
539,1949,0
533,1959,0
533,1959,0
537,1961,0
549,1960,0
564,1952,0
582,1928,0
603,1896,0
622,1857,0
641,1820,0
654,1785,0
661,1767,0
660,1759,0
652,1756,0
637,1769,0
617,1804,0
594,1853,0
578,1906,0
569,1954,0
571,1988,0
580,1998,0
596,1990,0
620,1967,0
648,1925,0
677,1866,0
707,1802,0
734,1744,0
755,1686,0
770,1641,0
778,1609,0
777,1597,0
769,1595,0
755,1609,0
736,1641,0
716,1694,0
695,1756,0
680,1821,0
676,1891,0
681,1949,0
691,1988,0
707,2004,0
729,1996,0
757,1968,0
787,1913,0
820,1853,0
846,1788,0
866,1727,0
876,1684,0
875,1659,0
868,1657,0
849,1672,0
824,1720,0
801,1790,0
789,1864,0
791,1930,0
806,1960,0
837,1972,1
1012,1872,0
1013,1872,0
1015,1876,0
1015,1915,0
1007,1971,0
993,2031,0
977,2090,0
964,2133,0
949,2152,1
1211,1699,0
1208,1703,0
1199,1720,0
1197,1753,0
1179,1802,0
1177,1858,0
1173,1899,0
1175,1926,0
1182,1934,0
1192,1929,0
1209,1916,0
1228,1886,0
1246,1844,0
1267,1810,0
1285,1788,0
1297,1782,0
1298,1782,0
1295,1786,0
1295,1815,0
1291,1847,0
1292,1876,0
1298,1891,0
1311,1898,0
1329,1891,0
1353,1871,0
1381,1846,0
1402,1814,0
1421,1790,0
1428,1771,0
1429,1771,0
1427,1776,0
1421,1797,0
1413,1831,0
1409,1861,0
1411,1882,0
1423,1891,0
1439,1883,0
1457,1863,0
1475,1838,0
1483,1812,0
1483,1788,0
1477,1768,0
1469,1762,0
1464,1763,0
1460,1764,0
1460,1768,0
1463,1775,0
1476,1781,0
1494,1777,0
1514,1763,0
1538,1751,0
1551,1739,0
1557,1738,0
1558,1742,0
1556,1763,0
1556,1792,0
1552,1818,0
1552,1843,0
1556,1859,0
1560,1858,0
1570,1851,0
1586,1833,0
1602,1807,0
1614,1779,0
1622,1759,0
1623,1754,0
1623,1759,0
1621,1780,0
1619,1819,0
1617,1857,0
1623,1889,0
1635,1902,0
1651,1897,0
1677,1871,0
1706,1831,0
1730,1788,0
1742,1743,1
2021,1672,0
2020,1667,0
2020,1662,0
2020,1662,0
2020,1667,0
2021,1690,0
2022,1727,0
2019,1766,0
2012,1802,0
2011,1830,0
2011,1840,0
2012,1838,0
2019,1830,0
2034,1813,0
2046,1783,0
2055,1749,0
2070,1720,0
2080,1700,0
2087,1691,0
2087,1691,0
2087,1700,0
2089,1732,0
2094,1780,0
2091,1829,0
2088,1887,0
2085,1949,0
2077,2008,0
2063,2060,0
2053,2106,0
2035,2137,0
2019,2154,0
2007,2159,0
1997,2155,0
1987,2138,0
1985,2108,0
1990,2065,0
2010,2017,0
2037,1966,0
2065,1915,0
2096,1869,0
2132,1828,0
2164,1793,0
2188,1772,0
2201,1767,0
2200,1773,0
2202,1800,0
2200,1836,0
2200,1865,0
2198,1880,0
2205,1885,0
2208,1883,0
2214,1874,0
2219,1853,0
2224,1824,0
2227,1798,0
2227,1778,0
2225,1770,0
2221,1768,0
2222,1772,0
2219,1774,0
2224,1791,0
2232,1804,0
2247,1809,0
2265,1805,0
2287,1795,0
2304,1776,0
2321,1763,0
2327,1753,0
2324,1750,0
2328,1758,0
2323,1777,0
2317,1811,0
2314,1843,0
2316,1867,0
2326,1880,0
2342,1878,0
2362,1858,1
2419,1730,0
2417,1731,0
2418,1735,0
2414,1749,0
2413,1777,0
2410,1809,0
2405,1844,0
2408,1872,0
2417,1886,0
2432,1889,0
2453,1878,0
2475,1849,0
2497,1816,1
2591,1498,0
2576,1521,0
2569,1569,0
2559,1616,0
2557,1657,1
2635,1686,0
2626,1701,0
2621,1734,0
2621,1778,0
2620,1818,0
2625,1852,0
2632,1867,0
2639,1867,0
2655,1856,0
2673,1828,0
2693,1787,0
2704,1734,0
2724,1697,0
2732,1676,0
2736,1672,0
2733,1681,0
2727,1705,1
2717,1853,0
2724,1853,0
2736,1841,0
2755,1816,0
2774,1783,0
2795,1750,0
2801,1713,0
2807,1694,0
2801,1689,0
2794,1691,0
2779,1708,0
2763,1742,0
2755,1780,0
2762,1814,0
2782,1828,0
2826,1828,0
2881,1804,0
2939,1781,0
2985,1763,0
3021,1751,1
3205,1496,0
3206,1493,0
3206,1493,0
3206,1493,0
3209,1503,0
3206,1537,0
3201,1582,0
3191,1633,0
3178,1678,0
3172,1714,0
3170,1730,0
3177,1734,0
3187,1734,0
3202,1720,0
3225,1702,0
3247,1684,0
3263,1675,0
3279,1680,0
3284,1696,0
3285,1721,0
3280,1749,0
3263,1773,0
3248,1792,0
3233,1800,0
3216,1796,0
3209,1785,0
3199,1758,0
3200,1730,0
3211,1707,1
3360,1632,0
3358,1633,0
3359,1647,0
3357,1673,0
3358,1707,0
3346,1739,0
3336,1768,0
3327,1786,0
3320,1790,0
3321,1788,0
3325,1775,0
3337,1746,0
3352,1709,0
3373,1677,0
3402,1655,0
3426,1639,0
3444,1633,0
3455,1637,0
3457,1651,0
3452,1680,0
3440,1713,0
3431,1742,0
3427,1763,0
3424,1766,0
3430,1766,0
3440,1757,0
3452,1739,0
3460,1713,0
3465,1689,0
3463,1670,0
3462,1664,0
3464,1662,0
3460,1661,0
3460,1661,0
3466,1659,0
3481,1649,0
3500,1633,0
3519,1609,0
3549,1583,0
3573,1554,0
3590,1524,0
3604,1498,0
3609,1479,0
3601,1470,0
3597,1470,0
3584,1476,0
3569,1496,0
3554,1532,0
3537,1578,0
3527,1627,0
3518,1673,0
3513,1710,0
3515,1737,0
3515,1745,0
3520,1745,0
3524,1738,0
3533,1718,0
3541,1689,0
3549,1667,0
3553,1662,0
3552,1663,0
3558,1677,0
3556,1703,0
3559,1728,0
3567,1746,0
3578,1752,0
3597,1749,0
3626,1733,0
3648,1705,0
3672,1673,0
3691,1638,0
3696,1605,0
3696,1589,0
3691,1591,0
3677,1599,0
3658,1626,0
3644,1666,0
3633,1707,0
3636,1741,0
3640,1756,0
3660,1763,0
3684,1754,0
3710,1734,0
3735,1708,0
3753,1676,0
3766,1645,0
3776,1635,0
3771,1635,0
3769,1640,0
3765,1671,0
3759,1707,0
3750,1737,0
3756,1757,0
3759,1761,0
3770,1758,0
3784,1742,0
3800,1722,0
3814,1698,0
3823,1682,0
3826,1685,0
3826,1693,0
3829,1720,0
3838,1745,0
3855,1763,0
3876,1768,0
3913,1759,0
3944,1737,0
3973,1718,0
3984,1695,1
4326,1428,0
4318,1435,0
4309,1459,0
4300,1502,0
4294,1558,0
4288,1619,0
4280,1676,0
4273,1718,0
4265,1752,0
4259,1772,0
4249,1775,0
4238,1762,0
4229,1736,1
4202,1654,0
4206,1654,0
4215,1654,0
4233,1652,0
4266,1638,0
4302,1607,0
4343,1566,0
4375,1517,0
4406,1474,0
4426,1434,0
4442,1402,0
4442,1388,0
4442,1391,0
4437,1403,0
4421,1446,0
4410,1506,0
4384,1570,0
4367,1629,0
4360,1674,0
4350,1705,0
4349,1716,0
4349,1716,0
4357,1708,0
4365,1684,0
4376,1658,0
4386,1653,0
4386,1655,0
4392,1672,0
4398,1707,0
4406,1737,0
4412,1761,0
4425,1771,0
4448,1768,0
4471,1749,0
4497,1721,0
4521,1685,0
4533,1649,0
4535,1623,0
4534,1626,0
4523,1631,0
4508,1656,0
4497,1691,0
4500,1725,0
4514,1740,0
4530,1746,0
4565,1734,0
4600,1717,0
4634,1698,1
4857,1442,0
4851,1443,0
4854,1448,0
4858,1460,0
4852,1491,0
4852,1539,0
4852,1597,0
4846,1656,0
4841,1710,0
4831,1754,0
4829,1780,0
4821,1788,0
4822,1786,1
4797,1692,0
4797,1692,0
4811,1690,0
4835,1682,0
4864,1664,0
4891,1639,0
4911,1609,0
4931,1578,0
4943,1545,0
4954,1514,0
4953,1480,0
4956,1458,0
4951,1450,0
4941,1452,0
4929,1464,0
4914,1496,0
4902,1542,0
4897,1590,0
4891,1638,0
4888,1680,0
4891,1715,0
4891,1735,0
4893,1740,0
4902,1742,0
4907,1730,0
4916,1706,0
4929,1675,0
4939,1649,0
4945,1633,0
4950,1631,0
4949,1633,0
4949,1645,0
4951,1674,0
4945,1700,0
4949,1721,0
4953,1731,0
4962,1732,0
4977,1725,0
4994,1705,0
5017,1680,0
5037,1650,0
5052,1631,0
5058,1626,0
5064,1633,0
5062,1652,0
5059,1680,0
5050,1703,0
5045,1718,0
5044,1720,0
5050,1717,0
5053,1698,0
5062,1673,0
5066,1641,0
5072,1623,0
5069,1619,0
5073,1621,0
5079,1630,0
5091,1642,0
5104,1652,0
5120,1655,0
5134,1652,0
5151,1643,0
5168,1628,0
5178,1612,0
5187,1597,0
5186,1590,0
5181,1592,0
5165,1602,0
5149,1633,0
5139,1674,0
5139,1708,0
5151,1732,0
5170,1738,0
5202,1732,0
5235,1713,0
5260,1691,0
5281,1668,1
5295,1654,0
5297,1649,0
5298,1634,0
5307,1618,0
5313,1602,0
5310,1585,0
5304,1578,0
5288,1576,0
5270,1591,0
5248,1619,0
5230,1657,0
5221,1693,0
5221,1715,0
5228,1721,0
5240,1720,0
5255,1705,0
5276,1684,0
5286,1654,0
5299,1630,0
5306,1620,0
5306,1622,0
5306,1635,0
5304,1663,0
5302,1692,0
5306,1715,0
5311,1727,0
5331,1730,0
5349,1719,0
5380,1701,0
5414,1677,0
5448,1652,0
5476,1631,0
5496,1623,0
5500,1623,0
5495,1626,0
5481,1643,0
5449,1672,0
5425,1706,0
5406,1735,0
5393,1748,0
5402,1746,0
5415,1733,0
5438,1703,0
5466,1661,0
5485,1615,0
5511,1564,0
5530,1517,0
5535,1481,0
5542,1472,0
5537,1474,0
5530,1499,0
5513,1554,0
5505,1621,0
5501,1684,0
5509,1731,0
5525,1759,0
5557,1766,1
5735,1715,0
5735,1714,0
5738,1717,0
5739,1742,0
5738,1783,0
5727,1823,0
5702,1867,0
5668,1913,0
5629,1948,1
5938,1687,0
5936,1689,0
5938,1687,0
5941,1686,0
5947,1680,0
5955,1669,0
5965,1652,0
5970,1633,0
5988,1617,0
6005,1603,0
6024,1592,0
6041,1591,0
6055,1599,0
6066,1621,0
6068,1655,0
6071,1701,0
6069,1746,0
6052,1800,0
6034,1852,0
6015,1896,0
5999,1930,0
5989,1947,0
5988,1949,0
5989,1947,0
5989,1934,0
5999,1906,0
6011,1871,0
6030,1828,0
6054,1783,0
6080,1740,0
6104,1702,0
6136,1665,0
6162,1634,0
6188,1618,0
6201,1615,0
6208,1619,0
6206,1641,0
6201,1671,0
6189,1697,0
6179,1719,0
6180,1727,0
6180,1727,0
6186,1722,0
6201,1701,0
6217,1674,0
6228,1648,0
6240,1638,0
6237,1637,0
6230,1645,0
6229,1674,0
6221,1703,0
6223,1722,0
6237,1733,1
6389,1593,0
6384,1583,0
6378,1573,0
6370,1570,0
6363,1568,0
6352,1577,0
6344,1593,0
6338,1616,0
6334,1645,0
6337,1678,0
6337,1705,0
6339,1727,0
6332,1748,0
6322,1768,0
6311,1778,0
6293,1781,0
6285,1783,0
6281,1778,0
6278,1763,0
6285,1740,0
6297,1713,0
6318,1683,0
6344,1651,0
6375,1614,0
6416,1583,0
6453,1556,0
6478,1539,0
6501,1529,0
6517,1534,0
6522,1547,0
6512,1584,0
6497,1623,0
6481,1668,0
6465,1707,0
6461,1737,0
6457,1752,0
6457,1754,1
6406,1696,0
6407,1694,0
6420,1691,0
6454,1674,0
6505,1654,0
6563,1637,0
6604,1623,0
6628,1615,1
6014,1540,0
5999,1534,0
5996,1530,0
5993,1539,0
5983,1547,1
