Again, again, again. Full
488
1241,1672,0
1257,1659,0
1273,1628,0
1281,1591,0
1314,1541,0
1352,1485,0
1392,1431,0
1428,1380,0
1461,1336,0
1491,1305,0
1513,1284,0
1528,1274,0
1537,1275,0
1542,1289,0
1543,1319,0
1537,1361,0
1528,1415,0
1517,1466,0
1508,1507,0
1510,1535,0
1510,1548,1
1409,1464,0
1409,1464,0
1407,1459,0
1416,1462,0
1426,1459,0
1447,1462,0
1465,1457,0
1486,1450,0
1508,1447,1
1689,1456,0
1686,1450,0
1691,1447,0
1691,1438,0
1686,1427,0
1681,1421,0
1674,1419,0
1660,1421,0
1643,1429,0
1626,1446,0
1611,1469,0
1599,1496,0
1587,1512,0
1585,1522,0
1593,1528,0
1600,1525,0
1607,1514,0
1619,1500,0
1632,1482,0
1646,1467,0
1660,1457,0
1668,1449,0
1671,1447,0
1672,1451,0
1671,1460,0
1674,1481,0
1679,1505,0
1681,1534,0
1684,1569,0
1684,1603,0
1681,1640,0
1674,1672,0
1665,1701,0
1652,1723,0
1633,1730,0
1618,1731,0
1598,1721,0
1576,1702,0
1563,1694,0
1549,1686,0
1537,1677,1
1921,1483,0
1918,1480,0
1918,1476,0
1914,1469,0
1917,1462,0
1915,1450,0
1914,1440,0
1904,1428,0
1899,1421,0
1889,1418,0
1869,1416,0
1851,1428,0
1827,1447,0
1804,1478,0
1786,1510,0
1774,1535,0
1775,1549,0
1783,1553,0
1792,1548,0
1812,1538,0
1830,1519,0
1850,1498,0
1868,1478,0
1889,1466,0
1901,1458,0
1903,1457,0
1903,1461,0
1905,1475,0
1903,1490,0
1908,1506,0
1913,1517,0
1920,1522,0
1933,1523,0
1942,1517,0
1956,1508,0
1976,1500,0
1993,1488,0
2005,1476,0
2018,1471,0
2024,1471,0
2030,1477,0
2036,1486,0
2042,1498,0
2049,1508,0
2054,1514,1
2048,1398,0
2046,1395,0
2046,1394,0
2046,1394,0
2046,1394,1
2118,1418,0
2119,1418,0
2119,1418,0
2118,1419,0
2121,1426,1
2113,1454,0
2112,1470,0
2111,1481,0
2116,1488,0
2123,1491,0
2133,1489,0
2142,1481,0
2162,1476,0
2177,1469,0
2189,1464,0
2204,1466,0
2211,1470,0
2217,1476,0
2225,1484,0
2230,1491,0
2236,1496,1
2372,1518,0
2374,1522,0
2377,1530,0
2376,1543,0
2376,1564,0
2370,1591,0
2364,1619,0
2362,1636,0
2367,1648,1
2742,1420,0
2731,1416,0
2719,1412,0
2701,1409,0
2688,1412,0
2668,1418,0
2647,1432,0
2623,1454,0
