at least, to know he was B.C,
657
954,6015,0
953,6010,0
950,6010,0
940,6002,0
923,6006,0
901,6001,0
875,6004,0
846,6012,0
822,6019,0
799,6034,0
782,6056,0
773,6088,0
768,6116,0
786,6225,0
801,6258,0
817,6283,0
833,6295,0
854,6296,0
873,6285,0
895,6266,0
953,6111,0
970,6067,0
978,6039,0
982,6020,0
985,6015,0
984,6019,0
984,6027,0
974,6059,0
998,6140,0
1011,6184,0
1015,6224,0
1023,6248,0
1034,6260,0
1045,6256,0
1059,6232,1
1125,5848,0
1124,5848,0
1124,5852,0
1122,5872,0
1126,5904,0
1130,5947,0
1141,5996,0
1153,6048,0
1154,6096,0
1157,6136,0
1158,6167,0
1160,6183,0
1164,6188,1
1177,5983,0
1177,5984,0
1173,5984,0
1164,5991,0
1150,5988,0
1138,6000,0
1126,6008,0
1106,6024,0
1091,6032,0
1078,6044,0
1067,6044,0
1064,6044,0
1064,6040,1
1450,5873,0
1457,5908,0
1455,5952,0
1457,5992,0
1457,6028,0
1457,6068,0
1462,6104,0
1463,6128,0
1468,6144,0
1469,6143,0
1474,6143,0
1480,6131,0
1491,6110,0
1502,6085,0
1510,6056,0
1519,6024,0
1530,6007,0
1543,5998,0
1557,5993,0
1576,5999,0
1596,6013,0
1617,6032,0
1640,6054,0
1662,6067,0
1685,6081,0
1708,6083,0
1728,6085,0
1749,6074,0
1768,6061,0
1786,6034,0
1796,6004,0
1801,5975,0
1799,5947,0
1795,5928,0
1789,5921,0
1782,5918,0
1773,5926,0
1764,5944,0
1758,5969,0
1754,6009,0
1754,6054,0
1758,6097,0
1764,6138,0
1780,6167,0
1797,6190,0
1820,6203,0
1845,6203,0
1877,6192,1
2026,5988,0
2025,5980,0
2025,5980,0
2019,5976,0
2008,5974,0
1990,5977,0
1970,5984,0
1949,6003,0
1928,6019,0
1912,6049,0
1901,6079,0
1896,6116,0
1896,6148,0
1906,6180,0
1918,6198,0
1929,6205,0
1947,6203,0
1966,6187,0
1985,6168,0
2004,6133,0
2020,6094,0
2031,6056,0
2039,6014,0
