and not, for instance, a Roman?
735
914,6558,0
912,6553,0
909,6558,0
905,6558,0
900,6561,0
891,6565,0
880,6573,0
859,6580,0
846,6596,0
830,6611,0
818,6631,0
799,6650,0
788,6677,0
958,6715,0
973,6667,0
983,6632,0
989,6607,0
994,6592,0
994,6584,0
995,6587,0
994,6592,0
989,6620,0
979,6655,0
987,6700,0
996,6735,0
1003,6772,0
1008,6787,0
1018,6800,0
1030,6799,0
1045,6785,1
1112,6564,0
1113,6564,0
1111,6576,0
1115,6600,0
1120,6632,0
1128,6672,0
1133,6708,0
1135,6740,0
1136,6760,0
1138,6760,0
1138,6760,0
1141,6748,0
1149,6727,0
1155,6695,0
1164,6660,0
1174,6619,0
1182,6579,0
1191,6551,0
1200,6531,0
1208,6523,0
1231,6546,0
1244,6582,0
1254,6618,0
1261,6658,0
1267,6690,0
1274,6717,0
1278,6729,1
1419,6531,0
1421,6527,0
1418,6527,0
1416,6527,0
1411,6531,0
1399,6536,0
1385,6549,0
1370,6561,0
1353,6582,0
1339,6603,0
1328,6628,0
1323,6659,0
1326,6688,0
1331,6715,0
1344,6734,0
1359,6742,0
1376,6745,0
1401,6736,0
1420,6715,0
1442,6691,0
1459,6650,0
1473,6609,0
1483,6563,0
1489,6519,0
1492,6447,0
1492,6418,0
1491,6402,0
1491,6399,0
1493,6402,0
1491,6415,0
1491,6443,0
1496,6486,0
1506,6546,0
1513,6594,0
1522,6645,0
1529,6693,0
1533,6724,0
1541,6744,0
1551,6739,0
1564,6727,1
1778,6481,0
1781,6490,0
1784,6497,0
1788,6525,0
1792,6560,0
1792,6601,0
1790,6641,0
1790,6669,0
1788,6686,0
1790,6693,0
1789,6690,0
1793,6681,0
1803,6660,0
1814,6622,0
1826,6584,0
1836,6539,0
1848,6505,0
1860,6476,0
1869,6459,0
1879,6453,0
1889,6460,0
1896,6471,0
1904,6498,0
1911,6539,0
1913,6582,0
1915,6626,0
1918,6662,0
1923,6682,0
1930,6693,1
2109,6493,0
2106,6490,0
2108,6489,0
2107,6489,0
2105,6486,0
