indeed, until I realized afresh, as
850
689,2663,0
682,2654,0
679,2644,0
679,2644,0
678,2649,0
677,2665,0
678,2697,0
679,2729,0
676,2766,0
674,2794,0
675,2806,1
668,2569,0
667,2562,0
669,2562,0
672,2558,0
678,2567,1
753,2644,0
745,2634,0
745,2638,0
744,2646,0
743,2658,0
745,2683,0
747,2715,0
744,2739,0
740,2762,0
741,2774,0
743,2774,0
747,2772,0
753,2753,0
759,2724,0
762,2697,0
767,2669,0
774,2642,0
786,2632,0
801,2630,0
818,2635,0
834,2649,0
846,2666,0
852,2690,0
855,2719,0
858,2747,0
861,2763,0
869,2777,0
880,2781,0
893,2778,1
1044,2700,0
1049,2700,0
1053,2689,0
1054,2677,0
1053,2665,0
1044,2649,0
1029,2628,0
1012,2624,0
992,2620,0
974,2622,0
958,2630,0
944,2645,0
932,2668,0
924,2700,0
923,2740,0
928,2765,0
940,2781,0
955,2786,0
973,2783,0
993,2772,0
1011,2748,0
1027,2720,0
1042,2689,0
1049,2649,0
1054,2609,0
1052,2568,0
1052,2540,0
1053,2525,0
1053,2521,0
1052,2521,0
1053,2536,0
1053,2564,0
1053,2608,0
1051,2653,0
1049,2697,0
1048,2736,0
1052,2769,0
1058,2784,0
1067,2796,0
1074,2792,0
1081,2789,1
1091,2689,0
1091,2689,0
1093,2689,0
1100,2692,0
1114,2700,0
1132,2704,0
1154,2700,0
1179,2691,0
1205,2674,0
1228,2661,0
1243,2647,0
1251,2635,0
1254,2631,0
1247,2619,0
1234,2620,0
1216,2629,0
1193,2642,0
1174,2667,0
1160,2695,0
1153,2719,0
1156,2744,0
1170,2763,0
1189,2774,0
1214,2781,0
1242,2779,0
1269,2774,0
1293,2760,0
1313,2750,0
1324,2741,1
1324,2725,0
1319,2733,0
1317,2734,0
1319,2733,0
1329,2736,0
1346,2735,0
1366,2725,0
1388,2710,0
1406,2692,0
1423,2677,0
1433,2663,0
1436,2651,0
1430,2636,0
1421,2633,0
1403,2627,0
1381,2627,0
1364,2637,0
1353,2658,0
1344,2678,0
1339,2700,0
1344,2724,0
1355,2746,0
1368,2753,0
1390,2758,0
1418,2762,1
1597,2688,0
1602,2691,0
1604,2691,0
1604,2691,0
1600,2688,0
1594,2680,0
1585,2674,0
1575,2668,0
1562,2666,0
1550,2668,0
1538,2675,0
1526,2685,0
1513,2704,0
1502,2726,0
1495,2752,0
1493,2772,0
1495,2776,0
1503,2779,0
1515,2773,0
1526,2759,0
1538,2740,0
1551,2717,0
1564,2691,0
1573,2656,0
1580,2622,0
1581,2585,0
1582,2552,0
1585,2528,0
1586,2507,0
1587,2498,0
1587,2498,0
1587,2498,0
1586,2507,0
1583,2528,0
1577,2561,0
1568,2608,0
1554,2656,0
1546,2698,0
1548,2730,0
1553,2745,0
1563,2752,0
1570,2755,0
1575,2754,0
1576,2750,0
1577,2745,1
1629,2767,0
1628,2764,0
1631,2767,0
1633,2770,0
1638,2785,0
1643,2806,0
1648,2832,0
1651,2864,0
1655,2893,1
2140,2618,0
2135,2610,0
2133,2607,0
2135,2610,0
2137,2622,0
2144,2650,0
2147,2675,0
2151,2708,0
2149,2735,0
2151,2760,0
2152,2768,0
2157,2770,0
2163,2764,0
2175,2755,0
2181,2730,0
2195,2707,0
2207,2674,0
2223,2650,0
2241,2642,0
2254,2640,0
2262,2645,0
2273,2662,0
2277,2682,0
2276,2709,0
2273,2741,0
2268,2766,0
2270,2783,0
2279,2796,0
2285,2794,1
2364,2643,0
2364,2643,0
2365,2642,0
2364,2643,0
2365,2652,0
2365,2675,0
2364,2702,0
2360,2726,0
2359,2748,0
2360,2766,0
2361,2775,0
2364,2778,0
2366,2777,0
2370,2766,0
2374,2742,0
2387,2712,0
2403,2673,0
2424,2639,0
2446,2618,0
2466,2606,0
2480,2608,0
2492,2619,0
2499,2642,0
2498,2671,0
2497,2708,0
2492,2738,0
2492,2766,0
2492,2784,0
2495,2796,0
2501,2802,0
2502,2796,0
2509,2788,0
2516,2771,1
2576,2540,0
2579,2524,0
2579,2514,0
2578,2511,0
2577,2511,0
2577,2526,0
2575,2555,0
2576,2593,0
2570,2634,0
2568,2677,0
2564,2716,0
2567,2752,0
2561,2773,0
2561,2791,0
2560,2801,0
2555,2799,0
2551,2793,1
2541,2660,0
2542,2659,0
2545,2658,0
2551,2654,0
2564,2651,0
2581,2649,0
2601,2643,0
2623,2633,0
2641,2618,0
2661,2606,0
2673,2592,0
2683,2581,0
2695,2578,0
2702,2578,0
2708,2584,0
2717,2601,0
2725,2625,0
2732,2654,0
2734,2682,0
2734,2710,0
2734,2734,0
2733,2749,0
2736,2760,0
2741,2772,0
2743,2780,0
2741,2782,0
2742,2786,0
2742,2786,0
2743,2780,1
2722,2520,0
2719,2523,0
2717,2529,0
2716,2535,0
2721,2545,1
2782,2493,0
2784,2497,0
2784,2506,0
2786,2524,0
2785,2549,0
2782,2581,0
2779,2618,0
2775,2654,0
2774,2688,0
2771,2714,0
2774,2741,0
