No, sir, not that one;
392
1586,1279,0
1595,1288,0
1599,1291,0
1597,1292,0
1600,1299,0
1605,1319,0
1610,1347,0
1619,1392,0
1622,1442,0
1620,1504,0
1614,1567,0
1607,1624,0
1602,1669,0
1597,1696,0
1597,1717,0
1597,1720,0
1593,1718,0
1585,1708,0
1575,1686,0
1570,1654,0
1564,1601,1
1546,1301,0
1550,1287,0
1551,1282,0
1556,1288,0
1572,1312,0
1592,1347,0
1616,1393,0
1645,1455,0
1669,1518,0
1693,1578,0
1720,1623,0
1749,1653,0
1773,1669,0
1789,1674,0
1794,1677,0
1802,1672,0
1804,1636,0
1809,1585,0
1813,1519,0
1802,1443,0
1792,1374,0
1778,1308,0
1766,1255,0
1755,1215,0
1745,1192,0
1748,1191,0
1737,1188,0
1739,1205,1
1951,1401,0
1944,1400,0
1945,1405,0
1937,1406,0
1943,1416,0
1935,1421,0
1931,1429,0
1925,1442,0
1919,1461,0
1920,1484,0
1921,1507,0
1926,1527,0
1942,1545,0
1959,1549,0
1973,1540,0
1995,1526,0
2014,1498,0
2034,1469,0
2043,1438,0
2040,1419,0
2024,1406,0
2005,1400,0
1993,1400,0
1978,1401,0
1966,1404,1
2288,1476,0
2287,1477,0
2292,1490,0
2291,1517,0
2285,1555,0
2273,1597,0
2263,1636,0
2251,1670,0
2243,1697,1
2774,1432,0
2767,1420,0
2752,1407,0
2743,1399,0
2732,1393,0
2716,1388,0
2697,1394,0
2668,1412,0
2627,1438,0
2594,1470,0
2570,1497,0
2568,1517,0
2577,1531,0
2609,1539,0
2649,1541,0
2688,1539,0
2722,1536,0
2753,1536,0
2772,1538,0
2772,1538,0
2767,1543,0
2745,1558,0
2709,1576,0
2678,1593,0
2644,1602,0
2624,1604,0
2609,1598,0
2603,1585,0
2602,1564,1
2843,1391,0
2840,1394,0
2846,1414,0
2852,1440,0
2860,1470,0
2866,1495,0
2876,1515,0
2882,1527,0
2883,1532,1
2832,1224,0
2821,1218,0
2825,1219,0
2825,1219,0
2827,1223,0
2835,1234,0
2837,1245,0
2845,1256,0
2848,1266,1
2950,1403,0
2947,1401,0
2954,1404,0
2962,1415,0
2975,1432,0
2976,1450,0
2982,1470,0
2986,1486,0
2989,1496,0
2988,1498,0
2987,1498,0
2988,1496,0
2975,1481,0
2970,1459,0
2971,1437,0
2970,1409,0
2979,1381,0
2999,1357,0
3027,1341,0
3052,1332,0
3083,1334,1
3371,1568,0
3361,1570,0
3355,1587,0
3354,1618,0
3353,1650,0
3358,1679,0
3352,1695,0
3355,1705,0
3356,1703,1
3588,1334,0
3585,1337,0
3597,1351,0
3610,1379,0
3622,1409,0
3625,1440,0
3638,1468,0
3642,1486,0
