a war on, don&apos;t you, sir?
432
1493,5207,0
1492,5204,0
1488,5204,0
1478,5201,0
1466,5197,0
1450,5203,0
1427,5212,0
1404,5238,0
1382,5275,0
1372,5312,0
1370,5344,0
1371,5364,0
1377,5368,0
1389,5367,0
1405,5342,0
1422,5309,0
1434,5280,0
1435,5272,0
1435,5276,0
1433,5292,0
1433,5320,0
1437,5344,0
1444,5364,0
1450,5388,0
1460,5402,0
1473,5409,0
1486,5412,0
1499,5416,0
1509,5419,1
1810,5191,0
1810,5191,0
1812,5195,0
1814,5199,0
1821,5209,0
1837,5236,0
1857,5257,0
1873,5279,0
1891,5293,0
1900,5295,0
1903,5295,0
1904,5295,0
1901,5279,0
1895,5248,0
1895,5219,0
1896,5198,0
1897,5195,0
1905,5201,0
1926,5222,0
1948,5247,0
1973,5267,0
2000,5286,0
2022,5295,0
2038,5300,0
2041,5298,0
2041,5291,0
2041,5274,0
2036,5255,0
2033,5236,0
2031,5224,0
2032,5219,0
2032,5215,0
2036,5219,1
2186,5245,0
2186,5233,0
2184,5226,0
2176,5219,0
2166,5216,0
2156,5223,0
2143,5230,0
2135,5248,0
2133,5264,0
2136,5272,0
2146,5282,0
2157,5280,0
2173,5277,0
2188,5269,0
2200,5255,0
2206,5249,0
2205,5249,0
2211,5264,0
2222,5291,0
2233,5308,0
2244,5323,0
2251,5329,0
2255,5332,0
2258,5335,0
2261,5331,1
2324,5230,0
2325,5233,0
2324,5234,0
2323,5242,0
2329,5266,0
2339,5287,0
2350,5306,0
2359,5320,0
2367,5334,0
2373,5341,0
2374,5341,0
2373,5341,0
2365,5330,0
2354,5313,0
2346,5294,0
2345,5282,0
2348,5269,0
2358,5262,0
2375,5254,0
2400,5248,0
2429,5243,0
2459,5245,0
2483,5246,0
2504,5257,0
2522,5264,1
2852,5163,0
2847,5161,0
2852,5163,0
2847,5161,0
2844,5158,0
2836,5148,0
2828,5146,0
2808,5145,0
2784,5157,0
2765,5180,0
2760,5207,0
2759,5225,0
2765,5244,0
2781,5260,0
2802,5261,0
2830,5255,0
2863,5244,0
2890,5226,0
2911,5206,0
2914,5196,0
2897,5177,0
2869,5170,0
2840,5172,0
2818,5175,0
2803,5180,1
2959,5137,0
2958,5137,0
2961,5144,0
2960,5162,0
2958,5185,0
2958,5205,0
