to hiss. &quot;No, sir,&quot; I said.
400
900,3559,0
899,3560,0
900,3568,0
900,3588,0
900,3612,0
901,3644,0
902,3692,0
907,3736,0
910,3776,0
916,3817,0
918,3845,0
918,3865,0
921,3877,0
920,3881,0
912,3877,0
900,3865,0
889,3840,1
851,3761,0
854,3757,0
874,3754,0
895,3752,0
912,3749,0
937,3754,0
965,3759,0
994,3759,1
1156,3788,0
1160,3771,0
1155,3756,0
1139,3748,0
1112,3744,0
1080,3761,0
1049,3784,0
1029,3816,0
1025,3848,0
1038,3872,0
1064,3880,0
1097,3880,0
1134,3867,0
1164,3852,0
1177,3827,0
1182,3807,0
1175,3788,0
1161,3776,0
1149,3768,0
1142,3764,0
1144,3764,1
1651,3573,0
1651,3597,0
1652,3625,0
1656,3661,0
1662,3705,0
1667,3744,0
1678,3775,0
1693,3797,0
1709,3810,0
1726,3812,0
1744,3805,0
1761,3789,0
1774,3762,0
1785,3740,0
1792,3725,0
1795,3725,0
1796,3733,0
1795,3750,0
1792,3779,0
1798,3806,0
1813,3828,0
1833,3840,0
1857,3843,0
1881,3838,0
1903,3821,0
1923,3805,0
1935,3781,0
1945,3762,0
1949,3761,0
1952,3764,0
1956,3784,0
1963,3811,0
1971,3838,0
1981,3852,0
1988,3854,0
1993,3853,0
1994,3832,1
1914,3617,0
1904,3611,0
1903,3612,0
1906,3615,0
1911,3618,1
2145,3699,0
2147,3699,0
2145,3699,0
2130,3708,0
2105,3720,0
2079,3731,0
2063,3748,0
2057,3762,0
2062,3777,0
2083,3793,0
2116,3804,0
2150,3814,0
2183,3826,0
2201,3833,0
2204,3836,0
2198,3842,0
2175,3849,0
2143,3854,0
2111,3855,0
2084,3854,0
2070,3854,1
2299,3708,0
2299,3704,0
2290,3703,0
2268,3706,0
2241,3715,0
2219,3731,0
2212,3746,0
2214,3758,0
2234,3776,0
2265,3788,0
2306,3802,0
2342,3812,0
2369,3824,0
2376,3830,0
2373,3835,0
2355,3841,0
2328,3846,0
2302,3846,0
2287,3852,0
2279,3850,0
2279,3850,0
2282,3849,0
2287,3848,0
2295,3849,0
2299,3848,0
2301,3851,0
2300,3851,0
2299,3852,0
2298,3852,1
2526,3834,0
2525,3834,0
2526,3838,0
2523,3835,0
2521,3835,1
2987,3548,0
2989,3547,0
2985,3544,0
2984,3549,0
2982,3560,0
2980,3575,0
2978,3585,0
2975,3591,0
2977,3590,0
2986,3590,0
2996,3580,0
3007,3568,0
3018,3557,1
3033,3539,0
3024,3540,0
3021,3560,0
3013,3574,0
3007,3587,0
3006,3596,0
3010,3604,0
3020,3607,1
3370,3506,0
3370,3517,0
3371,3539,0
3371,3573,0
3367,3614,0
3363,3665,0
3356,3713,0
3344,3754,0
3337,3786,0
3328,3806,0
3322,3814,0
3320,3797,1
3389,3518,0
3392,3510,0
3389,3508,0
3394,3524,0
3395,3552,0
3399,3593,0
3405,3637,0
3417,3677,0
3440,3715,0
3462,3738,0
3510,3740,0
3529,3718,0
3542,3684,0
3540,3642,0
3537,3610,0
3525,3583,0
3518,3570,0
3506,3558,0
